Aigai, Bottia
Aiani, Elimeia
Almopia, Edessa
Amfissa, Locris
Amphipolis, Edonis
Antigonea, Parauaea
Argilus, Bisaltia
Argithea, Athamania
Argos Orestikon, Orestis
Argos, Argolis
Athens, Attica
Calydon, Aetolia
Corinth, Corinthia
Creston, Crestonia
Delphi, Phocis
Dodona, Molossis
Dolopeis, Dolopia
Eordaea, Eordaia
Ephyra, Thesprotia
Eretria, Euboea
Erineum, Doris
Heraclea, Sintike
Hypata, Ainis
Iolcus, Magnesia
Larisa, Pelasgiotis
Lefkada, Acarnania
Megara, Megaris
Megalopolis, Arcadia
Olympia, Elis
(Olympos)
Patras, Athaea
Phalanna, Perrhabia
Pharsalos, Thessaliotis
Pherae, Phthiotis
Phoenike, Chaonia
Pydna, Pieria
Pylos, Messenia
Sirra, Odomantike
Sparta, Laconia
Styberra, Lynkestis
Thebes, Boeotia
Therma, Mygdonia
Toroni, Chalkidike
Trachis, Malis
Trikka, Histiaeotis
